Study,Condition,Reaction,GPR,Flux,Median_Log_TPM,aceK_Median_Log_TPM
Aromatics_Study,m9-EX_glc_e:7.44,CS,PP_4194,4.34642241077595,[6.594274676],3.804311162
Aromatics_Study,m9-EX_glc_e:7.44,SUCOAS,PP_4186 and PP_4185,-1.58327620921679,"[8.756777515, 8.150235954]",3.804311162
Muconate_Study,m9-EX_glc_e:7.44,ICL,PP_4116,1.7020057039594,[4.683807192],2.761369505
Muconate_Study,m9-EX_glc_e:7.44,ICDHyr,PP_4012 or PP_4011,2.64441670681655,"[6.121021307, 7.346816791]",2.761369505
Muconate_Study,m9-EX_glc_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.23089732683462,"[7.450474898, 4.546857424, 1.285437328]",2.761369505
Muconate_Study,m9-EX_glc_e:7.44,CS,PP_4194,4.34642241077595,[7.453601017],2.761369505
Muconate_Study,m9-EX_glc_e:7.44,SUCOAS,PP_4186 and PP_4185,-1.5832762092168,"[8.553311083, 8.346233738]",2.761369505
Muconate_Study,m9-EX_glcn_e:7.44,ICL,PP_4116,1.62330512945687,[4.802720663],2.803424204
Muconate_Study,m9-EX_glcn_e:7.44,ICDHyr,PP_4012 or PP_4011,3.21018886157904,"[6.246189273, 7.380376718]",2.803424204
Muconate_Study,m9-EX_glcn_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.72331077548811,"[7.798431904, 4.411095362, 2.619126147]",2.803424204
Muconate_Study,m9-EX_glcn_e:7.44,CS,PP_4194,4.83349399103591,[8.020282088],2.803424204
Muconate_Study,m9-EX_glcn_e:7.44,SUCOAS,PP_4186 and PP_4185,-2.19811539506779,"[8.954194146, 8.681514683]",2.803424204
Muconate_Study,m9-EX_fru_e:1.32,ICL,PP_4116,0.315941296101076,[4.827221818],4.637115815
Muconate_Study,m9-EX_fru_e:1.32,ICDHyr,PP_4012 or PP_4011,0.430676339656592,"[8.034171505, 6.592967148]",4.637115815
Muconate_Study,m9-EX_fru_e:1.32,FUM,PP_0944 or PP_1755 or PP_0897,0.725172851719795,"[6.425583631, 5.315440878, 1.412953769]",4.637115815
Muconate_Study,m9-EX_fru_e:1.32,CS,PP_4194,0.746617635757669,[7.039113522],4.637115815
Muconate_Study,m9-EX_fru_e:1.32,SUCOAS,PP_4186 and PP_4185,-0.233698090184752,"[8.411582685, 8.229031119]",4.637115815
